,bgrp,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05
0,60371011101,120,20,72,28,13,63,44,0,0,0,8,0,0,0,45,0,0,1,3,0,1,0,60,0,0,2,0,106,3,1,8,0,2,73,47,19,29,29,23,72,48,0,0,0,0,0,0,0,0,0,0
1,60371011102,201,26,127,48,21,79,101,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,191,0,0,0,0,145,7,1,42,0,6,131,70,39,39,55,42,73,128,0,0,0,0,0,0,0,0,0,0
2,60371011103,189,24,108,57,24,53,112,0,0,0,6,0,0,2,3,0,2,0,8,0,1,127,40,0,0,0,0,153,15,3,12,0,6,102,87,30,31,48,56,69,120,0,0,0,0,0,0,0,0,0,0
3,60371011221,135,15,79,41,15,91,29,0,0,0,20,3,1,0,0,4,0,0,5,0,52,0,33,1,4,12,0,90,9,2,27,0,7,88,47,27,23,39,31,67,68,0,0,0,0,0,0,0,0,0,0
4,60371011222,83,10,45,28,12,33,38,0,0,0,7,4,17,1,3,1,0,3,13,0,7,0,14,7,6,0,0,72,1,0,9,0,1,59,24,8,14,26,25,49,34,0,0,0,0,0,0,0,0,0,0
5,60371012201,105,15,60,30,18,28,59,0,0,0,8,0,0,0,5,0,0,0,4,0,0,60,24,1,0,3,0,85,6,1,12,0,1,64,41,16,15,28,31,44,61,0,0,0,0,0,0,0,0,0,0
6,60371012202,195,31,103,61,37,92,66,0,0,0,19,0,17,14,0,0,0,2,7,0,27,0,100,0,1,8,0,163,4,3,17,1,7,159,36,25,43,48,48,88,107,0,0,0,0,0,0,0,0,0,0
7,60371012211,101,21,62,18,14,49,38,0,0,0,0,1,1,19,0,0,0,5,3,0,0,0,41,0,5,26,0,88,2,0,8,1,2,62,39,22,18,24,16,63,38,0,0,0,0,0,0,0,0,0,0
8,60371012212,167,15,112,40,27,120,20,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,151,0,0,2,0,156,0,3,2,0,6,145,22,22,44,44,42,86,81,0,0,0,0,0,0,0,0,0,0
9,60371012221,576,92,351,133,70,232,274,0,0,0,190,32,30,15,3,14,4,0,4,0,31,8,166,5,66,8,0,503,16,8,30,1,18,367,209,108,97,160,119,361,215,0,0,0,0,0,0,0,0,0,0
10,60371013001,215,73,100,42,43,97,75,0,0,0,4,1,0,20,1,1,0,8,2,0,4,43,27,0,95,9,0,179,9,4,17,1,5,109,106,19,29,42,52,110,105,0,0,0,0,0,0,0,0,0,0
11,60371013002,406,113,176,117,48,198,160,0,0,0,15,10,0,186,5,0,6,1,24,0,10,0,93,0,41,15,0,340,17,8,30,0,11,232,174,75,70,88,60,193,213,0,0,0,0,0,0,0,0,0,0
12,60371013003,82,14,47,21,16,41,25,0,0,0,5,0,0,6,2,0,1,0,0,0,1,4,55,0,0,8,0,67,1,0,13,0,1,68,14,14,12,13,29,41,41,0,0,0,0,0,0,0,0,0,0
13,60371013004,129,27,73,29,24,56,49,0,0,0,0,0,0,59,2,0,17,2,3,0,6,0,28,4,8,0,0,108,5,2,14,0,0,81,48,17,23,26,36,52,77,0,0,0,0,0,0,0,0,0,0
14,60371014001,203,40,107,56,29,79,95,0,0,0,48,2,0,16,1,0,0,0,8,0,2,0,69,0,42,15,0,166,10,1,20,0,6,120,83,35,39,52,37,128,75,0,0,0,0,0,0,0,0,0,0
15,60371014002,183,32,85,66,34,101,48,0,0,0,15,23,0,12,4,1,1,0,8,0,1,15,64,0,0,39,0,136,7,0,38,2,0,139,44,33,32,32,54,74,109,0,0,0,0,0,0,0,0,0,0
16,60371014003,241,70,108,63,52,91,98,0,0,0,27,0,4,37,4,10,1,2,23,0,9,0,60,14,2,48,0,201,5,0,25,0,10,176,65,32,38,53,48,121,120,0,0,0,0,0,0,0,0,0,0
17,60371021031,140,23,91,26,31,70,39,0,0,0,17,0,0,0,0,6,0,0,13,0,8,0,74,1,21,0,0,121,4,1,5,0,9,112,28,21,34,38,24,76,64,0,0,0,0,0,0,0,0,0,0
18,60371021041,1566,282,854,430,399,317,850,0,0,0,3,0,6,3,3,0,150,11,408,0,186,351,387,0,44,14,0,1140,96,25,259,5,41,1103,463,167,256,406,455,698,868,0,0,0,0,0,0,0,0,0,0
19,60371021042,75,14,44,17,17,36,22,0,0,0,19,0,1,0,0,1,0,1,7,0,0,2,42,2,0,0,0,68,2,0,5,0,0,55,20,18,13,18,12,43,32,0,0,0,0,0,0,0,0,0,0
20,60371021051,168,20,90,58,5,52,111,0,0,0,0,113,9,2,0,0,0,15,0,0,5,0,24,0,0,0,0,133,4,3,24,0,4,79,89,38,28,54,28,116,52,0,0,0,0,0,0,0,0,0,0
21,60371021052,52,7,24,21,7,33,12,0,0,0,5,0,1,10,1,0,0,0,0,0,5,0,16,0,11,3,0,45,2,0,3,0,2,30,22,14,12,13,6,30,22,0,0,0,0,0,0,0,0,0,0
22,60371021071,334,43,191,100,20,118,196,0,0,0,29,0,0,32,0,1,87,4,16,0,19,0,139,5,1,1,0,260,18,6,38,1,11,204,130,60,58,80,93,141,193,0,0,0,0,0,0,0,0,0,0
23,60371021072,1194,291,610,293,77,371,746,0,0,0,15,0,4,42,0,0,24,1,6,0,44,662,352,0,4,40,0,963,41,24,137,11,18,567,627,173,189,269,272,380,814,0,0,0,0,0,0,0,0,0,0
24,60371031011,144,16,91,37,5,54,85,0,0,0,21,0,2,9,1,0,0,2,4,0,2,74,29,0,0,0,0,123,13,0,6,0,2,94,50,26,21,40,41,59,85,0,0,0,0,0,0,0,0,0,0
25,60371031012,42,9,17,16,12,22,8,0,0,0,18,0,0,0,2,2,0,0,0,0,0,5,15,0,0,0,0,35,1,1,2,0,3,30,12,7,4,11,11,25,17,0,0,0,0,0,0,0,0,0,0
26,60371031021,231,39,137,55,12,88,131,0,0,0,4,1,0,125,2,0,0,0,0,0,2,51,19,1,0,26,0,188,12,4,19,1,7,128,103,34,39,67,52,114,117,0,0,0,0,0,0,0,0,0,0
27,60371031022,81,19,42,20,19,45,17,0,0,0,12,3,0,0,1,0,0,0,0,0,7,0,24,0,23,11,0,77,2,0,1,0,1,64,17,17,14,18,13,45,36,0,0,0,0,0,0,0,0,0,0
28,60371031023,77,27,39,11,22,42,13,0,0,0,3,2,0,24,0,0,0,4,0,0,0,0,32,1,11,0,0,64,2,1,5,0,5,59,18,9,13,11,17,30,47,0,0,0,0,0,0,0,0,0,0
29,60371031024,98,13,55,30,21,55,22,0,0,0,0,0,0,13,1,0,2,0,0,0,0,0,64,2,14,2,0,84,1,1,8,1,3,73,25,21,18,27,19,42,56,0,0,0,0,0,0,0,0,0,0
30,60371031025,338,100,161,77,57,167,114,0,0,0,4,0,7,20,5,1,7,1,15,0,0,52,125,2,94,5,0,276,18,5,30,0,9,185,153,54,62,65,57,135,203,0,0,0,0,0,0,0,0,0,0
31,60371032011,122,24,70,28,24,69,29,0,0,0,12,0,0,25,2,0,0,0,1,0,1,0,58,0,21,2,0,106,4,1,11,0,0,93,29,20,24,30,24,53,69,0,0,0,0,0,0,0,0,0,0
32,60371032012,320,46,165,109,42,138,140,0,0,0,21,0,0,135,6,7,3,0,4,0,31,0,77,0,36,0,0,246,17,5,41,0,11,175,145,69,59,85,61,165,155,0,0,0,0,0,0,0,0,0,0
33,60371032021,263,52,128,83,30,96,137,1,0,0,30,0,12,2,2,5,1,0,26,0,35,75,18,10,40,6,0,213,13,2,27,4,4,159,104,42,43,72,54,135,128,0,0,0,0,0,0,0,0,0,0
34,60371033001,174,40,89,45,22,54,98,5,0,0,15,0,0,36,55,0,0,5,25,0,2,0,19,12,0,0,0,149,4,1,14,0,6,81,93,39,29,38,28,104,70,0,0,0,0,0,0,0,0,0,0
35,60371033002,775,162,452,161,129,312,334,2,0,0,66,43,4,3,0,18,5,75,32,26,8,20,454,7,10,2,0,701,18,14,27,0,15,370,405,130,125,203,155,351,424,0,0,0,0,0,0,0,0,0,0
36,60371034011,162,26,103,33,17,88,57,0,0,0,22,0,0,11,44,1,16,5,16,0,0,0,40,0,6,1,0,112,26,2,15,0,7,124,38,23,31,48,34,84,78,0,0,0,0,0,0,0,0,0,0
37,60371034021,182,31,111,40,42,92,48,0,0,0,8,15,5,13,0,1,0,0,3,0,0,0,81,0,50,6,0,158,3,0,17,0,4,137,45,19,38,49,45,82,100,0,0,0,0,0,0,0,0,0,0
38,60371034022,74,6,34,34,11,27,36,0,0,0,8,0,6,1,0,0,0,1,0,0,2,0,56,0,0,0,0,60,0,3,8,0,3,40,34,17,17,16,18,39,35,0,0,0,0,0,0,0,0,0,0
39,60371034023,54,7,31,16,3,12,39,0,0,0,0,0,0,0,1,4,0,2,0,0,0,41,6,0,0,0,0,40,7,0,6,0,1,31,23,7,7,15,18,19,35,0,0,0,0,0,0,0,0,0,0
40,60371034024,257,49,158,50,48,60,149,0,0,0,164,0,0,2,0,0,2,0,2,0,0,36,45,1,0,5,0,226,4,3,18,2,4,166,91,48,47,59,54,138,119,0,0,0,0,0,0,0,0,0,0
41,60371041031,153,23,75,55,11,48,94,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,140,1,0,6,0,103,9,0,37,1,3,66,87,40,24,30,36,59,94,0,0,0,0,0,0,0,0,0,0
