,bgrp,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05
0,110010001011,784,159,434,191,51,101,632,0,0,0,0,0,5,16,0,8,11,39,12,7,86,3,0,483,54,60,0,482,219,4,53,0,26,729,55,26,300,80,219,341,443,0,0,0,0,0,0,0,0,0,0
1,110010001021,685,141,361,183,89,165,431,0,0,0,78,0,43,177,0,0,18,13,32,2,6,133,8,30,37,108,0,414,210,5,40,1,15,567,118,105,142,127,170,307,378,0,0,0,0,0,0,0,0,0,0
2,110010001022,350,93,171,86,63,96,191,0,0,0,1,0,3,46,0,2,21,1,34,0,6,0,37,5,120,74,0,208,70,1,58,0,13,306,44,42,61,62,92,158,192,0,0,0,0,0,0,0,0,0,0
3,110010001023,6862,1647,3721,1494,567,1198,5097,0,0,111,245,0,33,691,6,655,126,293,1262,44,154,245,60,13,1982,942,0,4189,1817,39,613,12,192,5944,918,870,1160,1367,1818,3758,3104,0,0,0,0,0,0,0,0,0,0
4,110010002011,5254,1207,3156,891,172,427,4655,0,0,0,0,0,14,11,0,0,0,0,14,0,492,0,4702,0,20,0,1,2607,1696,12,799,6,134,4892,362,468,796,1085,1698,1616,3638,0,0,0,0,0,0,0,0,0,0
5,110010002012,9908,3333,4335,2240,2907,957,6044,0,0,0,25,0,0,215,0,23,3,2,15,1,41,9360,7,0,203,10,3,6278,1750,51,1489,18,322,9022,886,745,1247,1508,3075,4146,5762,0,0,0,0,0,0,0,0,0,0
6,110010002021,353,91,179,83,41,84,228,0,0,0,0,0,4,15,0,2,10,5,89,0,104,8,0,7,57,52,0,185,127,0,33,1,7,319,34,48,56,72,86,177,176,0,0,0,0,0,0,0,0,0,0
7,110010002022,711,186,387,138,67,121,523,0,0,0,4,0,0,32,0,0,4,2,37,0,421,6,2,0,140,62,1,427,188,6,74,1,15,623,88,72,106,153,194,300,411,0,0,0,0,0,0,0,0,0,0
8,110010002023,1586,579,698,309,365,345,876,0,0,0,142,1,6,551,0,48,7,34,86,2,11,2,24,66,409,197,0,1050,352,8,129,1,46,1334,252,152,214,264,377,689,897,0,0,0,0,0,0,0,0,0,0
9,110010002024,2507,778,1239,490,300,468,1739,0,0,0,67,36,23,334,53,13,20,111,906,0,85,11,45,74,562,167,0,1722,506,11,200,0,68,2196,311,291,361,400,677,1201,1306,0,0,0,0,0,0,0,0,0,0
10,110010003001,535,117,270,148,75,115,345,0,0,0,3,2,0,53,7,23,10,41,71,1,38,117,11,0,126,32,0,274,181,2,64,0,14,482,53,54,78,111,175,258,277,0,0,0,0,0,0,0,0,0,0
11,110010003002,56,13,34,9,6,9,41,0,0,0,0,0,1,0,0,7,2,4,35,0,0,0,2,0,0,5,0,40,9,0,5,1,1,49,7,3,11,8,21,18,38,0,0,0,0,0,0,0,0,0,0
12,110010003003,155,27,89,39,27,46,82,0,0,0,1,0,3,65,2,6,7,4,28,0,9,3,1,0,1,25,0,78,52,0,19,2,4,138,17,16,25,34,53,63,92,0,0,0,0,0,0,0,0,0,0
13,110010003004,74,15,43,16,1,17,56,0,0,0,0,1,1,0,0,3,12,1,19,1,5,2,0,0,0,29,0,45,15,2,9,0,3,62,12,12,11,10,26,21,53,0,0,0,0,0,0,0,0,0,0
14,110010004001,217,47,123,47,23,73,121,0,0,0,24,1,2,3,0,0,0,4,1,1,3,10,0,11,140,17,0,123,70,0,16,0,8,173,44,26,51,42,51,96,121,0,0,0,0,0,0,0,0,0,0
15,110010004002,1610,291,840,479,122,284,1204,0,0,1,407,0,2,83,4,10,12,18,192,0,68,15,535,42,137,84,0,781,684,5,103,1,36,1389,221,254,337,358,370,779,831,0,0,0,0,0,0,0,0,0,0
16,110010005011,469,112,251,106,56,105,308,0,0,0,1,0,10,55,0,6,2,12,43,0,5,90,4,14,143,84,0,278,104,5,65,1,16,397,72,64,81,81,131,204,265,0,0,0,0,0,0,0,0,0,0
17,110010005012,86,51,30,5,42,9,35,0,0,0,0,0,7,0,0,7,0,0,11,0,1,0,0,1,0,59,0,57,21,5,2,0,1,52,34,9,7,7,12,48,38,0,0,0,0,0,0,0,0,0,0
18,110010005013,562,75,271,216,40,92,430,0,0,0,27,0,2,15,0,4,0,31,13,0,1,5,3,0,454,7,0,230,235,3,84,0,10,434,128,129,106,117,135,306,256,0,0,0,0,0,0,0,0,0,0
19,110010005021,238,25,141,72,18,20,200,0,0,0,0,0,6,0,0,1,0,2,32,0,3,163,5,0,0,26,0,166,49,0,15,0,8,200,38,24,34,43,112,92,146,0,0,0,0,0,0,0,0,0,0
20,110010005022,251,79,115,57,24,66,161,0,0,0,0,0,12,2,4,10,2,28,64,0,34,9,27,2,33,24,0,141,90,3,13,0,4,214,37,30,35,36,71,107,144,0,0,0,0,0,0,0,0,0,0
21,110010006001,39,2,21,16,2,9,28,0,0,0,0,0,0,0,0,0,0,19,4,0,0,3,0,1,0,12,0,17,17,0,5,0,0,33,6,6,8,9,14,15,24,0,0,0,0,0,0,0,0,0,0
22,110010006002,518,79,296,143,42,105,371,0,0,0,0,0,18,4,0,1,4,21,17,1,11,238,74,2,103,24,0,378,81,1,42,2,14,408,110,69,76,83,211,175,343,0,0,0,0,0,0,0,0,0,0
